METATRYP_taxa_name,genome_name,ncbi_id,img_genome_id,tax_domain,tax_phylum,tax_class,tax_order,tax_family,tax_genus,tax_species
Alteromonas_macleodii_REDSEA-S15_B11,Alteromonas macleodii REDSEA-S15_B11,28108,2651870155,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Unclassified Alteromonas
Alteromonas_mediterranea_DE,Alteromonas mediterranea DE,1774373,642555105,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea
Alteromonas_sp_ALT199,Alteromonas sp. ALT199,1298865,2524614846,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Unclassified Alteromonas
Bacillus_sp_B14905,Bacillus sp. B14905,388400,640612200,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Unclassified Bacillus
Bacillus_sp_NRRL_B-14911,Bacillus sp. NRRL B-14911,313627,638341014,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Unclassified Bacillus
Bacillus_sp_SG-1,Bacillus sp. SG-1,161544,640963033,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Unclassified Bacillus
Beggiatoa_sp_Orange_Guaymas,Beggiatoa sp. Orange Guaymas,391602,2502790011,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Beggiatoa,Unclassified Beggiatoa
Brevundimonas_sp_BAL3,Brevundimonas sp. BAL3,391600,647533115,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Unclassified Brevundimonas
Caminibacter_mediatlanticus_TB-2,Caminibacter mediatlanticus TB-2,391592,640963039,Bacteria,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Caminibacter,Caminibacter mediatlanticus
Candidatus_Nitrosopelagicus_brevis_CN25,Candidatus Nitrosopelagicus brevis CN25,1410606,2630968793,Bacteria,Thaumarchaeota,Unclassified Thaumarchaeota,Unclassified Thaumarchaeota,Unclassified Thaumarchaeota,Candidatus Nitrosopelagicus,Unclassified Candidatus Nitrosopelagicus
Candidatus_Pelagibacter_ubique_SAR11_HTCC1062,Candidatus Pelagibacter ubique SAR11 HTCC1062,335992,637000058,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
Carnobacterium_sp_AT7,Carnobacterium sp. AT7,333990,2501651209,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Unclassified Carnobacterium
Citreicella_sp_SE45,Citreicella sp. SE45,501479,647533124,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Citreicella,Unclassified Citreicella
Congregibacter_litoralis_KT71,Congregibacter litoralis KT71,314285,2597489864,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Congregibacter,Congregibacter litoralis
Crocosphaera_watsonii_WH_0003,Crocosphaera watsonii WH 0003,423471,2531839001,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii
Crocosphaera_watsonii_WH_0005,Crocosphaera watsonii WH 0005,423472,2636415574,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii
Crocosphaera_watsonii_WH_0401_draft1,Crocosphaera watsonii WH 0401 (draft1),555881,2503283007,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii
Crocosphaera_watsonii_WH_0402,Crocosphaera watsonii WH 0402,263511,2627853717,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Chroococcales,Aphanothecaceae,Crocosphaera,Unclassified Crocosphaera
Crocosphaera_watsonii_WH_8501,Crocosphaera watsonii WH 8501,165597,2503283009,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii
Crocosphaera_watsonii_WH_8502,Crocosphaera watsonii WH 8502,423474,2639763078,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii
Cyanobium_sp_PCC_7001,Cyanobium sp. PCC 7001,180281,647533126,Bacteria,Cyanobacteria,Unclassified Cyanobacteria,Synechococcales,Synechococcaceae,Cyanobium,Unclassified Cyanobium
Erythrobacter_litoralis_HTCC2594,Erythrobacter litoralis HTCC2594,314225,637000103,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter litoralis
Erythrobacter_sp_NAP1,Erythrobacter sp. NAP1,237727,638341081,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Unclassified Erythrobacter
Erythrobacter_sp_SD-21,Erythrobacter sp. SD-21,161528,640963034,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Unclassified Erythrobacter
